arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
untrained,0.2,unit88,0.19997,25,beam_optimal,0.2388,0.2388,0.7832,0.7832,0,1,388,717,39,497,0.07,1.39,no,no,((const=VP OR const=NP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,50,beam_optimal,0.2388,0.2388,0.7832,0.7832,0,1,523,717,62,497,0.11,1.39,no,no,((const=VP OR const=NP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,100,beam_optimal,0.2388,0.2388,0.7832,0.7832,0,1,779,717,111,497,0.18,1.39,no,no,((const=VP OR const=NP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit88,0.19997,200,beam_optimal,0.2388,0.2388,0.7832,0.7832,0,1,899,717,204,497,0.34,1.39,no,no,((const=VP OR const=NP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit92,0.19993,5,beam_optimal,0.2721,0.28,0.142,0.149,0,0,96,291,15,503,0.02,0.48,no,no,((dep=punct OR synset=angstrom.n.01) AND (NOT const=VP)),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,10,beam_optimal,0.2721,0.28,0.142,0.149,0,0,155,291,25,503,0.03,0.48,no,no,((dep=punct OR synset=angstrom.n.01) AND (NOT const=VP)),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,25,beam_optimal,0.2721,0.28,0.142,0.149,0,0,263,291,39,503,0.06,0.48,no,no,((dep=punct OR synset=angstrom.n.01) AND (NOT const=VP)),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,50,beam_optimal,0.28,0.28,0.149,0.149,0,1,357,291,64,503,0.09,0.48,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,100,beam_optimal,0.28,0.28,0.149,0.149,0,1,433,291,110,503,0.14,0.48,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit92,0.19993,200,beam_optimal,0.28,0.28,0.149,0.149,0,1,526,291,203,503,0.25,0.48,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((lemma=a AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit396,0.20001,5,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,144,821,15,544,0.02,1.81,no,no,((lemma=a OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,10,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,229,821,25,544,0.04,1.81,no,no,((synset=angstrom.n.01 OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,25,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,413,821,39,544,0.06,1.81,no,no,((synset=angstrom.n.01 OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,50,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,586,821,62,544,0.09,1.81,no,no,((synset=angstrom.n.01 OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit396,0.20001,100,beam_optimal,0.2518,0.2518,0.1391,0.1391,0,1,929,821,110,544,0.16,1.81,no,no,((synset=angstrom.n.01 OR lemma=.) AND (NOT const=PP)),((lemma=a AND (NOT const=PP)) OR lemma=.)
